epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5581.03,1.37481,1.36226,1.61006,0.69584,0.62041,0.69182,0.39176,1.63693,1.3568,1.84014,0.000614,0.000614,0.000614
44,5702.6,1.35327,1.34196,1.59541,0.70184,0.64286,0.69995,0.40806,1.57401,1.36839,1.77235,0.000581,0.000581,0.000581
45,5826.94,1.36877,1.34332,1.61094,0.67851,0.67621,0.71849,0.41399,1.58666,1.30168,1.79594,0.000548,0.000548,0.000548
46,5949.25,1.34441,1.31215,1.58939,0.7084,0.6551,0.73125,0.41682,1.56122,1.30367,1.76667,0.000515,0.000515,0.000515
47,6071.98,1.33285,1.30869,1.57788,0.76873,0.61052,0.72453,0.42809,1.52353,1.32615,1.75561,0.000482,0.000482,0.000482
48,6195.88,1.318,1.29234,1.57615,0.74131,0.61407,0.71877,0.39928,1.6158,1.36029,1.80215,0.000449,0.000449,0.000449
49,6318.07,1.32729,1.26891,1.57981,0.69394,0.64898,0.73349,0.41733,1.58761,1.2949,1.76166,0.000416,0.000416,0.000416
50,6480.25,1.31509,1.28636,1.57474,0.77137,0.62857,0.7503,0.43818,1.53489,1.25169,1.75308,0.000383,0.000383,0.000383
51,6608.57,1.40818,1.22135,1.66275,0.77682,0.6551,0.75922,0.4459,1.5289,1.236,1.75082,0.00035,0.00035,0.00035
52,6730.46,1.35686,1.16205,1.64632,0.73378,0.70313,0.76478,0.45318,1.5031,1.22156,1.72056,0.000317,0.000317,0.000317
53,6852.53,1.35021,1.11316,1.62029,0.80397,0.66327,0.76711,0.45396,1.52444,1.22966,1.75775,0.000284,0.000284,0.000284
54,6975.29,1.34493,1.1096,1.6244,0.75611,0.6898,0.76909,0.44953,1.52087,1.20045,1.74999,0.000251,0.000251,0.000251
55,7152.39,1.31953,1.08094,1.60271,0.78802,0.6898,0.78578,0.46456,1.514,1.17602,1.74532,0.000218,0.000218,0.000218
56,7303.33,1.30657,1.05918,1.59534,0.7506,0.69406,0.78405,0.46903,1.4989,1.1631,1.72954,0.000185,0.000185,0.000185
57,7426.52,1.31036,1.03259,1.58324,0.77412,0.69184,0.77174,0.46422,1.5148,1.1756,1.74007,0.000152,0.000152,0.000152
58,7549.33,1.27333,1.00438,1.56961,0.7906,0.69388,0.77863,0.46682,1.50822,1.15823,1.73149,0.000119,0.000119,0.000119
59,7671.1,1.26867,0.9922,1.56464,0.78275,0.70408,0.78326,0.47023,1.49574,1.14847,1.72407,8.6e-05,8.6e-05,8.6e-05
60,7791.64,1.26391,0.9945,1.56036,0.76217,0.68367,0.76915,0.47155,1.49564,1.1634,1.72629,5.3e-05,5.3e-05,5.3e-05
